transcript::Pver_Sc0000000_size2095917:1521387-1522420	66	0.34177	10.29681396	1	0.0464386	noncoding
transcript::Pver_Sc0000000_size2095917:1897042-1899390	62	0.32798	4.280944824	1	0.0760416	noncoding
transcript::Pver_Sc0000000_size2095917:209929-211345	97	0.39367	5.733215332	1	0.377938	noncoding
transcript::Pver_Sc0000000_size2095917:1150280-1150548	18	0.4451	6.501525879	1	0.00492426	noncoding
transcript::Pver_Sc0000000_size2095917:1539849-1540183	14	0.37735	9.992370605	1	0.00637411	noncoding
transcript::Pver_Sc0000000_size2095917:2000794-2001058	21	0.37053	11.3336792	-1	0.168155	noncoding
transcript::Pver_Sc0000001_size2081954:517-1418	72	0.41014	9.72479248	1	0.113763	noncoding
transcript::Pver_Sc0000001_size2081954:98013-100934	404	0.43792	5.729309082	1	1	coding
transcript::Pver_Sc0000001_size2081954:98013-102804	404	0.32463	5.729309082	1	1	coding
transcript::Pver_Sc0000001_size2081954:98013-104492	404	0.33289	5.729309082	1	1	coding
transcript::Pver_Sc0000001_size2081954:98013-104492	404	0.33289	5.729309082	1	1	coding
transcript::Pver_Sc0000001_size2081954:455114-461029	109	0.32709	9.055969238	1	0.169542	noncoding
transcript::Pver_Sc0000001_size2081954:455114-461029	109	0.32709	9.055969238	1	0.169542	noncoding
transcript::Pver_Sc0000001_size2081954:455114-461029	109	0.32709	9.055969238	1	0.169542	noncoding
transcript::Pver_Sc0000001_size2081954:455114-463221	109	0.29368	9.055969238	1	0.119609	noncoding
transcript::Pver_Sc0000001_size2081954:461416-463221	52	0.3268	10.02374268	1	0.0251113	noncoding
transcript::Pver_Sc0000001_size2081954:1363850-1367095	62	0.31026	10.293396	1	0.0345409	noncoding
transcript::Pver_Sc0000001_size2081954:1717061-1718391	72	0.33979	10.34539795	1	0.0566003	noncoding
transcript::Pver_Sc0000001_size2081954:5534-6535	44	0.27937	5.993469238	1	0.0186199	noncoding
transcript::Pver_Sc0000001_size2081954:16156-18539	69	0.34464	9.302307129	1	0.0464	noncoding
transcript::Pver_Sc0000001_size2081954:41410-41924	22	0.34364	12.00006104	1	0.0117442	noncoding
transcript::Pver_Sc0000001_size2081954:42949-43574	34	0.41445	9.788391113	1	0.0195937	noncoding
transcript::Pver_Sc0000001_size2081954:42949-44030	34	0.36629	9.788391113	1	0.0137517	noncoding
transcript::Pver_Sc0000001_size2081954:137401-139519	58	0.35077	10.65814209	1	0.0385236	noncoding
transcript::Pver_Sc0000001_size2081954:146322-153924	135	0.31169	6.550231934	1	0.5	coding
transcript::Pver_Sc0000001_size2081954:334553-336026	32	0.41282	7.953430176	1	0.0103035	noncoding
transcript::Pver_Sc0000001_size2081954:336501-337628	46	0.31853	6.503112793	1	0.0131593	noncoding
transcript::Pver_Sc0000001_size2081954:368268-370395	78	0.27818	9.546203613	1	0.0463496	noncoding
transcript::Pver_Sc0000001_size2081954:371066-375905	67	0.34472	8.77166748	1	0.0396142	noncoding
transcript::Pver_Sc0000001_size2081954:385106-386005	140	0.40242	9.647888184	-1	0.161785	noncoding
transcript::Pver_Sc0000001_size2081954:950167-950818	22	0.39261	12.00848389	1	0.0120282	noncoding
transcript::Pver_Sc0000001_size2081954:971711-975639	54	0.32731	8.522033691	1	0.0197684	noncoding
transcript::Pver_Sc0000001_size2081954:971711-975639	54	0.32731	8.522033691	1	0.0197684	noncoding
transcript::Pver_Sc0000001_size2081954:1060915-1063371	51	0.30453	10.37701416	1	0.0251945	noncoding
transcript::Pver_Sc0000001_size2081954:1060915-1063371	51	0.30453	10.37701416	1	0.0251945	noncoding
transcript::Pver_Sc0000001_size2081954:1208319-1215051	85	0.28376	8.705993652	1	0.0546993	noncoding
transcript::Pver_Sc0000001_size2081954:1208319-1222229	85	0.25734	8.705993652	1	0.0574758	noncoding
transcript::Pver_Sc0000001_size2081954:1208319-1228387	85	0.25734	8.705993652	1	0.0574758	noncoding
transcript::Pver_Sc0000001_size2081954:1219249-1220757	37	0.30422	8.372253418	1	0.0095496	noncoding
transcript::Pver_Sc0000001_size2081954:1244604-1246718	39	0.2718	9.101867676	1	0.0148292	noncoding
transcript::Pver_Sc0000001_size2081954:1362814-1363799	54	0.3767	4.384216309	1	0.0654651	noncoding
transcript::Pver_Sc0000001_size2081954:1724157-1727508	67	0.37371	9.89642334	1	0.0609207	noncoding
transcript::Pver_Sc0000001_size2081954:1724157-1728899	67	0.32381	9.89642334	1	0.0405426	noncoding
transcript::Pver_Sc0000001_size2081954:1724157-1729088	67	0.32546	9.89642334	1	0.0409423	noncoding
transcript::Pver_Sc0000001_size2081954:40048-40377	85	0.49841	5.890441895	1	0.268143	noncoding
transcript::Pver_Sc0000001_size2081954:2078252-2079415	191	0.38979	4.856506348	1	0.997661	coding
transcript::Pver_Sc0000002_size1617595:373-2671	52	0.26407	10.09466553	-1	0.171071	noncoding
transcript::Pver_Sc0000002_size1617595:4231-4748	23	0.41753	10.7366333	1	0.0152888	noncoding
transcript::Pver_Sc0000002_size1617595:88905-93635	50	0.37209	10.19232178	1	0.0309396	noncoding
transcript::Pver_Sc0000002_size1617595:96358-96936	51	0.39487	4.48248291	1	0.0631326	noncoding
transcript::Pver_Sc0000002_size1617595:99880-102418	88	0.29366	8.344299316	1	0.0628078	noncoding
transcript::Pver_Sc0000002_size1617595:106096-112094	95	0.29115	5.901306152	1	0.156953	noncoding
transcript::Pver_Sc0000002_size1617595:112309-115866	176	0.28082	6.823791504	1	0.777911	coding
transcript::Pver_Sc0000002_size1617595:365319-366034	18	0.38943	3.434265137	1	0.0145911	noncoding
transcript::Pver_Sc0000002_size1617595:365319-366829	47	0.39581	5.002380371	1	0.0366799	noncoding
transcript::Pver_Sc0000002_size1617595:497267-499799	96	0.34725	9.427185059	1	0.136716	noncoding
transcript::Pver_Sc0000002_size1617595:498306-499052	57	0.35071	7.999816895	1	0.0240321	noncoding
transcript::Pver_Sc0000002_size1617595:518124-519369	46	0.31136	7.747375488	1	0.0124621	noncoding
transcript::Pver_Sc0000002_size1617595:571756-571976	58	0.32998	4.82623291	1	0.0453302	noncoding
transcript::Pver_Sc0000002_size1617595:1043918-1056026	81	0.32244	9.42376709	1	0.0616313	noncoding
transcript::Pver_Sc0000002_size1617595:1194961-1196392	46	0.29343	9.019836426	1	0.015768	noncoding
transcript::Pver_Sc0000002_size1617595:1223462-1226358	84	0.32048	9.44317627	1	0.0674565	noncoding
transcript::Pver_Sc0000002_size1617595:1359861-1368141	120	0.34523	10.17144775	1	0.280011	noncoding
transcript::Pver_Sc0000002_size1617595:1486763-1488808	49	0.31033	10.61688232	1	0.024917	noncoding
transcript::Pver_Sc0000002_size1617595:1534614-1536454	56	0.33754	9.184143066	1	0.0255612	noncoding
transcript::Pver_Sc0000002_size1617595:1604480-1608013	282	0.35307	8.993469238	1	0.998633	coding
transcript::Pver_Sc0000002_size1617595:3040-3927	68	0.43182	8.738830566	1	0.106294	noncoding
transcript::Pver_Sc0000002_size1617595:45175-46436	74	0.32437	6.218566895	1	0.0567502	noncoding
transcript::Pver_Sc0000002_size1617595:355008-357833	55	0.36762	7.874328613	1	0.0244831	noncoding
transcript::Pver_Sc0000002_size1617595:496925-499799	96	0.36434	9.427185059	1	0.168365	noncoding
transcript::Pver_Sc0000002_size1617595:1095008-1107840	99	0.31553	9.690856934	1	0.106741	noncoding
transcript::Pver_Sc0000002_size1617595:1095008-1111812	99	0.28035	9.690856934	1	0.0816732	noncoding
transcript::Pver_Sc0000002_size1617595:1375618-1382277	71	0.29676	10.45355225	1	0.0438235	noncoding
transcript::Pver_Sc0000002_size1617595:1499151-1500974	73	0.31848	9.476379395	1	0.0454858	noncoding
transcript::Pver_Sc0000002_size1617595:48639-48982	18	0.36865	9.992736816	1	0.0074378	noncoding
transcript::Pver_Sc0000002_size1617595:495860-496718	60	0.28498	9.456115723	1	0.0273804	noncoding
transcript::Pver_Sc0000002_size1617595:826288-827134	195	0.38389	9.206970215	1	0.971419	coding
transcript::Pver_Sc0000002_size1617595:1192206-1193194	47	0.38187	9.762023926	1	0.026843	noncoding
transcript::Pver_Sc0000002_size1617595:1193569-1193803	11	0.29771	7.975280762	-1	0.114231	noncoding
transcript::Pver_Sc0000003_size1576134:69773-70021	27	0.43717	11.42340088	1	0.0252176	noncoding
transcript::Pver_Sc0000003_size1576134:304516-304774	84	0.39399	9.208068848	-1	0.0973933	noncoding
transcript::Pver_Sc0000003_size1576134:379739-380483	46	0.41267	6.699401855	1	0.0225194	noncoding
transcript::Pver_Sc0000003_size1576134:390391-393265	71	0.36467	6.788024902	1	0.0577228	noncoding
transcript::Pver_Sc0000003_size1576134:390417-393265	71	0.36467	6.788024902	1	0.0577228	noncoding
transcript::Pver_Sc0000003_size1576134:494944-496221	78	0.34295	8.156311035	-1	0.094758	noncoding
transcript::Pver_Sc0000003_size1576134:719841-721659	71	0.29512	4.82623291	1	0.0967834	noncoding
transcript::Pver_Sc0000003_size1576134:910717-913468	93	0.3142	10.83013916	1	0.0867582	noncoding
transcript::Pver_Sc0000003_size1576134:910717-913468	93	0.3142	10.83013916	1	0.0867582	noncoding
transcript::Pver_Sc0000003_size1576134:1024148-1034060	158	0.28562	9.691711426	1	0.336851	noncoding
transcript::Pver_Sc0000003_size1576134:1122713-1124339	91	0.34126	10.03924561	1	0.108596	noncoding
transcript::Pver_Sc0000003_size1576134:1322925-1323551	29	0.31909	6.217590332	1	0.00590714	noncoding
transcript::Pver_Sc0000003_size1576134:1362922-1364372	91	0.42191	9.804870605	1	0.294614	noncoding
transcript::Pver_Sc0000003_size1576134:1466887-1467550	13	0.32796	12.47711182	1	0.00920588	noncoding
transcript::Pver_Sc0000003_size1576134:1466887-1468035	42	0.31485	9.994689941	1	0.0174175	noncoding
transcript::Pver_Sc0000003_size1576134:1564347-1567185	65	0.31204	5.328430176	1	0.0508166	noncoding
transcript::Pver_Sc0000003_size1576134:65610-69798	80	0.32615	9.569152832	-1	0.154985	noncoding
transcript::Pver_Sc0000003_size1576134:214624-215278	81	0.39079	5.819641113	1	0.171613	noncoding
transcript::Pver_Sc0000003_size1576134:425506-426367	101	0.33172	11.00006104	1	0.12522	noncoding
transcript::Pver_Sc0000003_size1576134:468352-471956	50	0.2759	8.987976074	1	0.0193244	noncoding
transcript::Pver_Sc0000003_size1576134:1090498-1090977	40	0.41119	4.36907959	1	0.0403304	noncoding
transcript::Pver_Sc0000003_size1576134:1136755-1138277	57	0.32546	11.52838135	1	0.0332504	noncoding
transcript::Pver_Sc0000003_size1576134:1161485-1162446	32	0.33896	10.28900146	1	0.0135751	noncoding
transcript::Pver_Sc0000003_size1576134:1466708-1467385	13	0.28225	12.47711182	1	0.0172959	noncoding
transcript::Pver_Sc0000003_size1576134:1502798-1503612	36	0.3294	9.626525879	1	0.0127707	noncoding
transcript::Pver_Sc0000003_size1576134:1507330-1508164	49	0.34782	4.493103027	1	0.0350227	noncoding
transcript::Pver_Sc0000003_size1576134:1510268-1511017	23	0.32741	8.540100098	1	0.00535122	noncoding
transcript::Pver_Sc0000003_size1576134:1524928-1527873	40	0.25349	8.615783691	1	0.0176401	noncoding
transcript::Pver_Sc0000003_size1576134:427555-427898	41	0.31673	11.36297607	-1	0.188831	noncoding
transcript::Pver_Sc0000003_size1576134:459747-461342	102	0.31425	9.273742676	1	0.115873	noncoding
transcript::Pver_Sc0000003_size1576134:570076-570304	13	0.46588	11.00018311	1	0.0203702	noncoding
transcript::Pver_Sc0000003_size1576134:620661-621483	34	0.34766	5.380065918	-1	0.0227934	noncoding
transcript::Pver_Sc0000003_size1576134:1320022-1320330	36	0.3416	4.427307129	1	0.0163818	noncoding
transcript::Pver_Sc0000003_size1576134:1324057-1324298	38	0.45654	9.101623535	1	0.0323067	noncoding
transcript::Pver_Sc0000003_size1576134:1535732-1537133	64	0.37021	8.932067871	1	0.0444351	noncoding
transcript::Pver_Sc0000003_size1576134:1537542-1537906	47	0.33485	6.00970459	1	0.0156414	noncoding
transcript::Pver_Sc0000004_size1560107:114709-116222	68	0.34515	4.436828613	1	0.104605	noncoding
transcript::Pver_Sc0000004_size1560107:382812-385905	71	0.27265	9.26373291	-1	0.172171	noncoding
transcript::Pver_Sc0000004_size1560107:480421-481121	52	0.29089	10.01409912	1	0.0242734	noncoding
transcript::Pver_Sc0000004_size1560107:853425-854641	49	0.38505	10.06011963	1	0.0321486	noncoding
transcript::Pver_Sc0000004_size1560107:989963-991342	48	0.34504	9.722473145	1	0.0218124	noncoding
transcript::Pver_Sc0000004_size1560107:1215614-1217907	61	0.33911	9.301574707	1	0.0322931	noncoding
transcript::Pver_Sc0000004_size1560107:1329977-1331831	60	0.31829	8.843688965	1	0.0256175	noncoding
transcript::Pver_Sc0000004_size1560107:2-503	21	0.37795	4.749206543	1	0.0068453	noncoding
transcript::Pver_Sc0000004_size1560107:94781-103387	98	0.28259	9.566955566	1	0.0802912	noncoding
transcript::Pver_Sc0000004_size1560107:227397-230877	82	0.29584	6.697937012	-1	0.112828	noncoding
transcript::Pver_Sc0000004_size1560107:424566-425369	43	0.32464	9.099304199	1	0.0142358	noncoding
transcript::Pver_Sc0000004_size1560107:479486-484621	80	0.27583	9.666809082	1	0.0494749	noncoding
transcript::Pver_Sc0000004_size1560107:481334-484621	80	0.31233	9.666809082	1	0.056512	noncoding
transcript::Pver_Sc0000004_size1560107:578207-582144	57	0.27818	6.88470459	1	0.0246268	noncoding
transcript::Pver_Sc0000004_size1560107:639344-641788	58	0.33305	9.566223145	1	0.029164	noncoding
transcript::Pver_Sc0000004_size1560107:654906-657466	55	0.3536	9.793029785	1	0.0308021	noncoding
transcript::Pver_Sc0000004_size1560107:931824-932618	98	0.40329	9.454772949	1	0.295387	noncoding
transcript::Pver_Sc0000004_size1560107:1270410-1272338	74	0.28334	9.932312012	1	0.0436491	noncoding
transcript::Pver_Sc0000004_size1560107:1544506-1546391	48	0.35772	7.747375488	1	0.0158027	noncoding
transcript::Pver_Sc0000004_size1560107:1555657-1556656	57	0.33142	9.998474121	1	0.0303446	noncoding
transcript::Pver_Sc0000004_size1560107:98214-99769	98	0.33025	9.566955566	1	0.120775	noncoding
transcript::Pver_Sc0000004_size1560107:387408-388225	23	0.3696	11.74432373	1	0.0122272	noncoding
transcript::Pver_Sc0000004_size1560107:619112-619328	4	0.42216	3.998840332	1	0.00516139	noncoding
transcript::Pver_Sc0000004_size1560107:943058-943338	46	0.38212	11.78961182	-1	0.176141	noncoding
transcript::Pver_Sc0000005_size1451149:38213-42446	67	0.26797	10.24932861	1	0.040131	noncoding
transcript::Pver_Sc0000005_size1451149:140924-141514	31	0.34882	10.17108154	1	0.0128382	noncoding
transcript::Pver_Sc0000005_size1451149:732067-734907	73	0.35496	9.624206543	1	0.0624431	noncoding
transcript::Pver_Sc0000005_size1451149:733567-734907	48	0.35111	9.18560791	1	0.0197437	noncoding
transcript::Pver_Sc0000005_size1451149:1054029-1057118	170	0.31929	5.618591309	1	0.925079	coding
transcript::Pver_Sc0000005_size1451149:1054451-1057118	170	0.39009	5.618591309	1	0.983354	coding
transcript::Pver_Sc0000005_size1451149:363969-372795	141	0.25506	9.920837402	1	0.178489	noncoding
transcript::Pver_Sc0000005_size1451149:363969-372869	141	0.25506	9.920837402	1	0.178489	noncoding
transcript::Pver_Sc0000005_size1451149:533550-534850	31	0.36458	11.8291626	1	0.0157214	noncoding
transcript::Pver_Sc0000005_size1451149:863633-867573	65	0.31589	10.63775635	1	0.0401262	noncoding
transcript::Pver_Sc0000005_size1451149:863633-872040	91	0.2921	9.923400879	1	0.070478	noncoding
transcript::Pver_Sc0000005_size1451149:891957-893171	35	0.38819	5.581848145	1	0.0123721	noncoding
transcript::Pver_Sc0000005_size1451149:893961-895578	46	0.30569	9.019226074	1	0.015424	noncoding
transcript::Pver_Sc0000005_size1451149:1134470-1134987	58	0.37574	9.510437012	-1	0.103406	noncoding
transcript::Pver_Sc0000005_size1451149:1158435-1160296	105	0.30777	11.87554932	1	0.0872898	noncoding
transcript::Pver_Sc0000005_size1451149:1233572-1234182	44	0.35823	5.981140137	1	0.0148361	noncoding
transcript::Pver_Sc0000005_size1451149:1234525-1235408	42	0.35708	10.53009033	1	0.0218227	noncoding
transcript::Pver_Sc0000005_size1451149:1310357-1312602	25	0.27112	10.92828369	1	0.0194331	noncoding
transcript::Pver_Sc0000005_size1451149:1312850-1314411	72	0.34181	10.36480713	1	0.0576108	noncoding
transcript::Pver_Sc0000005_size1451149:1339769-1341169	42	0.3428	9.417419434	1	0.0156858	noncoding
transcript::Pver_Sc0000005_size1451149:1443079-1446602	58	0.31565	9.725769043	1	0.0279031	noncoding
transcript::Pver_Sc0000005_size1451149:854055-854542	52	0.36129	11.84954834	1	0.0306671	noncoding
transcript::Pver_Sc0000005_size1451149:1172253-1172713	39	0.45653	6.511901855	1	0.0198831	noncoding
transcript::Pver_Sc0000005_size1451149:1303348-1303682	23	0.29368	4.78338623	1	0.00924533	noncoding
transcript::Pver_Sc0000006_size1442001:186527-191277	62	0.33439	9.04901123	1	0.0311711	noncoding
transcript::Pver_Sc0000006_size1442001:186527-191589	62	0.2705	9.04901123	1	0.0286607	noncoding
transcript::Pver_Sc0000006_size1442001:507494-511432	61	0.3644	5.336364746	1	0.0524075	noncoding
transcript::Pver_Sc0000006_size1442001:513768-518381	116	0.33111	4.623352051	1	0.608583	coding
transcript::Pver_Sc0000006_size1442001:941414-945144	114	0.31979	11.22857666	1	0.146345	noncoding
transcript::Pver_Sc0000006_size1442001:1220068-1221874	44	0.2831	8.932189941	1	0.015163	noncoding
transcript::Pver_Sc0000006_size1442001:1274038-1280968	82	0.29366	11.22467041	1	0.0578988	noncoding
transcript::Pver_Sc0000006_size1442001:1361559-1364100	41	0.31186	9.924621582	1	0.0165445	noncoding
transcript::Pver_Sc0000006_size1442001:187771-189458	40	0.31738	10.02435303	1	0.0164421	noncoding
transcript::Pver_Sc0000006_size1442001:295186-301383	67	0.30533	9.648376465	1	0.0357472	noncoding
transcript::Pver_Sc0000006_size1442001:295186-301383	67	0.30533	9.648376465	1	0.0357472	noncoding
transcript::Pver_Sc0000006_size1442001:295186-301383	67	0.30533	9.648376465	1	0.0357472	noncoding
transcript::Pver_Sc0000006_size1442001:295186-301644	67	0.27663	9.648376465	1	0.035073	noncoding
transcript::Pver_Sc0000006_size1442001:520589-522227	88	0.30152	6.816955566	-1	0.111664	noncoding
transcript::Pver_Sc0000006_size1442001:893321-894776	49	0.379	9.09967041	1	0.0245699	noncoding
transcript::Pver_Sc0000006_size1442001:1199702-1203414	85	0.30387	9.953552246	1	0.0638702	noncoding
transcript::Pver_Sc0000006_size1442001:1328380-1332688	81	0.28719	10.98492432	1	0.0563864	noncoding
transcript::Pver_Sc0000006_size1442001:1412781-1414006	51	0.26609	4.734313965	1	0.0678568	noncoding
transcript::Pver_Sc0000006_size1442001:1413467-1414006	51	0.31018	4.734313965	1	0.0336997	noncoding
transcript::Pver_Sc0000006_size1442001:1414404-1417840	98	0.26558	9.27166748	1	0.0771168	noncoding
transcript::Pver_Sc0000006_size1442001:1414404-1417840	98	0.26558	9.27166748	1	0.0771168	noncoding
transcript::Pver_Sc0000006_size1442001:519310-519893	27	0.26342	7.835510254	1	0.0092154	noncoding
transcript::Pver_Sc0000006_size1442001:887933-888416	22	0.36584	5.302429199	-1	0.0154744	noncoding
transcript::Pver_Sc0000006_size1442001:1366188-1366781	49	0.33365	10.43267822	1	0.0251489	noncoding
transcript::Pver_Sc0000007_size1404416:42414-44889	55	0.30469	10.1506958	1	0.0270358	noncoding
transcript::Pver_Sc0000007_size1404416:42414-44889	55	0.30469	10.1506958	1	0.0270358	noncoding
transcript::Pver_Sc0000007_size1404416:109676-112939	87	0.30268	8.398864746	1	0.063235	noncoding
transcript::Pver_Sc0000007_size1404416:109676-120691	87	0.26189	8.398864746	1	0.0606309	noncoding
transcript::Pver_Sc0000007_size1404416:109676-128255	137	0.28165	9.507385254	1	0.213362	noncoding
transcript::Pver_Sc0000007_size1404416:109676-128255	137	0.28165	9.507385254	1	0.213362	noncoding
transcript::Pver_Sc0000007_size1404416:109676-128255	137	0.28165	9.507385254	1	0.213362	noncoding
transcript::Pver_Sc0000007_size1404416:113181-128255	137	0.28165	9.507385254	1	0.213362	noncoding
transcript::Pver_Sc0000007_size1404416:115700-128255	137	0.28165	9.507385254	1	0.213362	noncoding
transcript::Pver_Sc0000007_size1404416:120940-128255	137	0.32244	9.507385254	1	0.347109	noncoding
transcript::Pver_Sc0000007_size1404416:241344-242473	63	0.4073	6.531188965	1	0.0605907	noncoding
transcript::Pver_Sc0000007_size1404416:484120-487989	110	0.31672	10.08441162	1	0.148706	noncoding
transcript::Pver_Sc0000007_size1404416:484120-487989	110	0.31672	10.08441162	1	0.148706	noncoding
transcript::Pver_Sc0000007_size1404416:484120-487989	110	0.31672	10.08441162	1	0.148706	noncoding
transcript::Pver_Sc0000007_size1404416:484120-488015	110	0.31672	10.08441162	1	0.148706	noncoding
transcript::Pver_Sc0000007_size1404416:485946-487989	110	0.30552	10.08441162	1	0.131507	noncoding
transcript::Pver_Sc0000007_size1404416:495728-499341	163	0.35792	9.772521973	1	0.760097	coding
transcript::Pver_Sc0000007_size1404416:1141108-1143561	64	0.28467	6.813049316	-1	0.121277	noncoding
transcript::Pver_Sc0000007_size1404416:1200480-1211832	103	0.28562	9.325012207	1	0.0937623	noncoding
transcript::Pver_Sc0000007_size1404416:1369259-1371146	70	0.39307	8.819274902	1	0.0740279	noncoding
transcript::Pver_Sc0000007_size1404416:26215-33105	79	0.25349	10.32318115	1	0.0568001	noncoding
transcript::Pver_Sc0000007_size1404416:26215-33105	79	0.25349	10.32318115	1	0.0568001	noncoding
transcript::Pver_Sc0000007_size1404416:26215-33105	79	0.25349	10.32318115	1	0.0568001	noncoding
transcript::Pver_Sc0000007_size1404416:28487-33105	79	0.25349	10.32318115	1	0.0568001	noncoding
transcript::Pver_Sc0000007_size1404416:233131-242473	85	0.32798	6.015319824	1	0.105676	noncoding
transcript::Pver_Sc0000007_size1404416:482969-483756	17	0.32838	6.694152832	1	0.00297035	noncoding
transcript::Pver_Sc0000007_size1404416:1399859-1400435	43	0.30325	12.0244751	1	0.0234135	noncoding
transcript::Pver_Sc0000008_size1375744:69382-75847	69	0.26458	7.949768066	1	0.0359914	noncoding
transcript::Pver_Sc0000008_size1375744:69382-75847	69	0.26458	7.949768066	1	0.0359914	noncoding
transcript::Pver_Sc0000008_size1375744:69537-75847	69	0.26458	7.949768066	1	0.0359914	noncoding
transcript::Pver_Sc0000008_size1375744:353886-358173	72	0.28082	10.50897217	1	0.0447455	noncoding
transcript::Pver_Sc0000008_size1375744:357759-359368	60	0.30529	9.800109863	1	0.029398	noncoding
transcript::Pver_Sc0000008_size1375744:432412-435152	54	0.31596	9.655212402	1	0.0240026	noncoding
transcript::Pver_Sc0000008_size1375744:678528-683510	98	0.30191	10.11395264	1	0.0915991	noncoding
transcript::Pver_Sc0000008_size1375744:683645-684832	71	0.29367	10.50213623	1	0.0437943	noncoding
transcript::Pver_Sc0000008_size1375744:684937-685573	48	0.4745	4.327697754	-1	0.0327144	noncoding
transcript::Pver_Sc0000008_size1375744:687078-690536	140	0.38223	8.798522949	1	0.70712	coding
transcript::Pver_Sc0000008_size1375744:694432-696501	135	0.35744	5.50201416	1	0.793745	coding
transcript::Pver_Sc0000008_size1375744:696687-698040	47	0.39695	4.273986816	-1	0.0178691	noncoding
transcript::Pver_Sc0000008_size1375744:698124-700752	35	0.28726	5.969665527	1	0.0111323	noncoding
transcript::Pver_Sc0000008_size1375744:702731-703533	123	0.44127	9.937927246	1	0.772715	coding
transcript::Pver_Sc0000008_size1375744:703760-705081	76	0.37409	10.14654541	1	0.0903527	noncoding
transcript::Pver_Sc0000008_size1375744:707250-709320	88	0.31849	6.965393066	1	0.0859181	noncoding
transcript::Pver_Sc0000008_size1375744:711186-717426	142	0.29772	4.846374512	1	0.808077	coding
transcript::Pver_Sc0000008_size1375744:717941-726013	114	0.32477	9.72454834	1	0.187698	noncoding
transcript::Pver_Sc0000008_size1375744:726340-733310	118	0.32886	9.298522949	1	0.228271	noncoding
transcript::Pver_Sc0000008_size1375744:733747-734216	50	0.43868	8.021179199	1	0.0377196	noncoding
